oID,dID,oParent,oName,oDescription,oBody,oLink,oSubLink,isPublic,isDeleted
1,1,0,"MC_CellularService","Cellular Service and Accessories","<center>
<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr align=""left"" valign=""top"">
  <td><img src=""images/sprint_logo.jpg""> </td>
  <td width=""10""> </td>
  <td>
  	<p align=""justify""><strong>Program Details</strong>
    <br />
  	Sprint Nextel, through the third party provider Walsh Wireless, offers MillerCoors Distributors service and accessory pricing discounts. <br />
  	  <br />
  	  Walsh Wireless offers customer service primarily through a customized website for each MillerCoors Distributor; manage your accounts, modify your service plan, buy accessories and much more all online. </p>
  	<p align=""justify""><strong>Benefits <br />
  	</strong><strong>  ??? </strong> MillerCoors Distributor business lines (Corporate Liable) = 18% discount <br />
  	<strong>  ??? </strong> MillerCoors Distributor accessories/equipment = 15% discount </p>
  	<p align=""justify"">Current Sprint Nextel business customers can upgrade to this plan with the aforementioned discounts with no early termination penalties. </p>
  	<p align=""justify""><strong>How to use the program <br />
  	</strong>To begin receiving the Corporate Liable discount today, contact the following individual with Walsh Wireless:<br />
  	<br />
 Wade Abram<br />
  	<span class=""style19"">T</span> 303-419-7777<span class=""style19""> E</span> <a href=""mailto:wade.abram@walshwireless.com"">wade.abram@walshwireless.com</a></p>
  	<p align=""justify""><strong>Other Benefits for Employees and their Families <br />
  	</strong>In addition, this program also offers MillerCoors Distributors employees and their families (Individual Liable) an 18% discount on their personal phone service. </p>
  	<p align=""justify""> As with the corporate program, current Sprint Nextel customers can upgrade to this plan with no early termination penalties. <a href=""http://coors.preferredorders.com/"">Click here </a>to begin receiving the Individual Liable discount today  and note <strong>Coors </strong> in the ""Company/Organization Name"" field. </p>  	</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali Magel, DSI Business Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
</center>","",0,1,1
2,1,0,"MC_Fleet","Fleet","
<body>
<p align=""center"">Each of the links below provide the negotiated program as detailed by the vehicle manufacturer. We recommend that you print the program for your records. You should continue to negotiate the best deal with your dealer and then supply them with the appropriate code to receive the fleet discount.<br>
Please click on the links below to view the details of each program. </p>
<p align=""center""><a href=""http://distributorssolutions.com/?pageid=9"">Chrysler</a> / <a href=""http://distributorssolutions.com/?pageid=10"">Ford</a> / <a href=""http://distributorssolutions.com/?pageid=11"">GM</a></p>
</body>
</html>","",0,1,0
3,1,0,"MC_MRO","MRO Supplies","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><div align=""left""><img src=""images/tn_grainer_logo.jpg"" width=""300"" height=""68"" align=""top"" /> </div></td>
  <td width=""10""> </td>
  <td align=""justify"">
  	<strong>Program Details</strong>
	<br />
	Grainger offers MillerCoors Distributors facilities maintenance and other related supplies including, but not limited to, material handling equipment, safety and security supplies, lighting and electrical products, tools and test instruments, pumps and plumbing supplies, and cleaning and painting supplies.
	<p align=""justify""><strong>Benefits</strong> <br />
<ul>
<li>32-58% off manufacturers list price for hand and power tools</li>
<li>18% off all cleaning supplies</li>
<li>10% off the catalog price across all category groups and products not included above </li>
</ul>


</p>      <p align=""justify""><strong>How to Use the Program<br />
    </strong>To receive the Grainger discounts online, <a href=""http://www.grainger.com/Grainger/static.jsp?page=fos_distributors_solutions.html"">click here</a> to register your distributor  using the following account number, <strong>872734686</strong>. </p>
	<p>Or, to receive the discounts from a Grainger Branch location use the above account number in any location. <a href=""http://www.grainger.com/Grainger/wwg/start.shtml"">Click here</a> to find a Grainger Branch location near you. </p>    </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,1,0
4,1,0,"MC_OfficeSupplies","Office Supplies","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><div align=""left""><img src=""images/tn_OfficeDepotLogo.png"" width=""300"" height=""43"" align=""top""> </div></td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top""><strong>Program Details</strong>
  	<br />
  	Office Depot offers MillerCoors Distributors competitive pricing for office supplies, including a full range of office products and break room supplies. Supplies offered through this program include but are not limited to ink/toner, paper, note pads, writing utensils, binders, calendars, and many more. </p>
<p><strong>Benefits </strong></p>
<p>Office Depot offers MillerCoors Distributors the following:</p>
<ul><li>Average of 10% - 30% + savings experienced by distributors participating, ranging in size from less than 1M CE up to 20M CE. </li>
  <li>Customized quotes with core items specific to your needs. </li>
  <li>Access to approximately 800 core items negotiated by DSI on behalf of all MillerCoors Distributors. <a href=""/dl/Office Depot Core List - MillerCoors - 060310.pdf"">Click here</a> to view these core items</li>
  <li>Free shipping with next day delivery to most locations </li>
  <li>No small order fees </li>
  <li>Access to the savings at more than 1,200 Office Depot retail stores </li>
</ul>
<p><strong>Limited Time Offer</strong></p>
Take advantage of monthly ""Smarter Offers"". Please <a href=""http://distributorssolutions.com/dl/OD Monthly Smart Offer.pdf"">click here</a> to view this month's additional savings opportunity. </p>
<p><strong>How to Use the Program<br>
</strong><a href=""https://odams.officedepot.com/registrations/distributors_solutions_welcome.php"">Click here</a> to register for the Office Depot program today. </p>
<p>Or to receive a customized quote* specific to your location, please contact Distributors Solutions General Manager: </p>
<p>Ali (Magel) Comeaux <br>
<span class=""style19"">T</span> 303-277-3359 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com%20"">amagel@dsi-mail.com </a></p>
<p>*To receive a customized quote, DSI will need your most recent 8-10 invoices from your current office supplier. We will coordinate your information and have Office Depot create a customized price list specific to your distributorship (without sharing your prices). Once your quote is complete, we will do the price comparison on your behalf and assist your group with the easy transition to Office Depot. 
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,1,0
5,1,0,"MC_PrintShopSupplies","Print Shop Supplies","<body>
<p align=""center"">The following two vendors offer MillerCoors Distributors print shop supplies, equipment, and more. <br>
Please click on the links below to view the details of each program. </p>
<p align=""center""><a href=""http://distributorssolutions.com/?pageid=67"">Big Systems</a> / <a href=""http://distributorssolutions.com/?pageid=66"">LexJet</a> </a></p>
</body>
</html>","",0,1,0
6,1,0,"MC_Copier","Copier Purchase / Lease","<body>
<p align=""center"">The following two vendors offer MillerCoors Distributors discounts on items such as <br> desktop printers, fax machines, multifunctional devices, copiers, and scanners. <br>
<br>
Please click on the links below to view the details of each program. </p>
<p align=""center""><a href=""http://distributorssolutions.com/?pageid=86"">Canon</a> / <a href=""http://distributorssolutions.com/?pageid=91"">Konica Minolta</a></p>
</body>
</html>","",0,1,0
7,1,0,"MC_ForkLifts","Fork Lifts and Pallet Jacks","<body>
<p align=""center"">The following vendors offer fork lift and pallet jack discounts to the MillerCoors Distributors<br>
Please click on the links below to view the details of each program. </p>
<p align=""center""><a href=""http://distributorssolutions.com/?pageid=12"">Caterpillar</a> / <a href=""http://distributorssolutions.com/?pageid=65"">Crown</a> / <a href=""http://distributorssolutions.com/?pageid=14"">Hyster / <a href=""http://distributorssolutions.com/?pageid=15"">Nissan / <a href=""http://distributorssolutions.com/?pageid=101"">Yale</a></a></p>
</body>
</html>","",0,1,0
8,1,0,"MC_TruckLeasing","Truck Leasing","<center>
  <table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr align=""left"" valign=""top"">
   <td width=""295""><img src=""images/RyderLogo.png"" width=""289"" height=""97"" align=""left""> </td>
   <td width=""8""> </td>
  <td width=""549""><p align=""justify""><strong>Program Details <br>
</strong>Ryder offers MillerCoors Distributors discounted pricing for both full service truck leasing options (with the ability to spec out a truck of your choice) and Ryder Level II RPM (Ryder Program Maintenance) guaranteed maintenance program. </p>
<p>For additional information regarding full service truck leasing with Ryder <a href=""http://distributorssolutions.com/dl/080408RYDER.pdf"">click here</a>. </p>
<p>For more information on Ryder or to view truck options <a href=""http://www.ryder.com/fms_home.shtml"">click here</a>. </p>
<p><strong>Benefits </strong></p>
<ul>
  <li> National Preferred lease pricing and Ryder Level II RPM guaranteed maintenance program </li>
  <li> Receive $750 per vehicle as a credit off your first invoice from Ryder </li>
  <li> Receive a $125 rebate per vehicle for renewing or signing a new Ryder Level II RPM guaranteed maintenance program agreement  </li>
  <li> <a href=""http://distributorssolutions.com/dl/100108_Ryder.pdf"">Click here </a> for more information on Ryder's comprehensive strategy to purchase your owned or leased units as part of its ???Vehicle Purchase and Lease Back Program </li>
</ul>
<p><strong>How to Use the Program <br>
</strong>For more information regarding this program, please contact the following VP of Industry Sales with Ryder: </p>
<p>Adriano Melluzzo  <br>
  <span class=""style19"">T</span> 860-240-5760 <span class=""style19"">E</span> <a href=""mailto:Amelluzzo@ryder.com"">Amelluzzo@ryder.com</a> </p>
<p><strong>To receive the $750 or $125 payments respectively, you must contact Adriano Melluzzo. </strong></p>	</td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
</center>","",0,1,0
9,1,0,"MC_StretchFilm","Stretch Film","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/tn_AEP%20logo%20IND%20INC%20copy.png"" width=""207"" height=""160"" /> </td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top"">
	<p align=""justify""><strong>Program Details <br />
	</strong>AEP offers MillerCoors Distributors both hand and machine stretch film in various gauges and sizes. </p>
	<p align=""justify""><strong>Benefits <br />
	</strong>
<ul>
  <li>Consolidated volume discounts. 3 pallet minimum order quantity</li>
  <li>Aggressive national account pricing
    <ul>
      <li><a href=""http://distributorssolutions.com/dl/AEP%20MC%20MONTHLY%20HANDWRAP.pdf"" align=""justify"">Click here </a> to view the details of the AEP Stretch Handwrap Film price list</li>
      <li><a href=""http://distributorssolutions.com/dl/AEP%20MC%20MONTHLY%20STRETCH%20MACHINE.pdf"" align=""justify"">Click here </a> to view the details of the AEP Stretch Machine Film price list</li>
    </ul>
  </li>
  </ul>
	<p align=""justify""><strong>How to Use the Program<br />
	</strong>To purchase stretch film from AEP, contact the following Customer Care Representative: </p>
	<p align=""justify"">Violet Royce <br />
      <span class=""style19"">T</span> 800-999-2374 Ext 7154 <span class=""style19"">E</span> <a href=""mailto:roycev@aepinc.com "">roycev@aepinc.com </a></p>
	<p align=""justify"">For product information or to obtain quotes on films not included in the above price lists, contact the following National Account Manager: </p>
	<p align=""justify"">Dave Howard <br />
      <span class=""style19"">T</span> 314-838-4492 <span class=""style19"">E</span> <a href=""mailto:howardd@aepinc.com"">howardd@aepinc.com</a></p></td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
<!-- Start of StatCounter Code -->
<script type=""text/javascript"">
var sc_project=4424763; 
var sc_invisible=1; 
var sc_partition=55; 
var sc_click_stat=1; 
var sc_security=""382eebab""; 
</script>

<script type=""text/javascript"" src=""http://www.statcounter.com/counter/counter.js""></script><noscript><div class=""statcounter""><a title=""myspace visitor"" href=""http://www.statcounter.com/myspace/"" target=""_blank""><img class=""statcounter"" src=""http://c.statcounter.com/4424763/0/382eebab/1/"" alt=""myspace visitor"" ></a></div></noscript>
<!-- End of StatCounter Code -->","",0,1,0
10,1,0,"MC_PalletRestacker","Pallet Restackers","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/tn_logo_QTek.jpg"" width=""300"" height=""129"" /> </td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top"">
	<p align=""justify""><strong>Program Details <br />
	</strong>Accutech Design Limited offers MillerCoors Distributors the Q-Tek Bomber. The Q-Tek Bomber is an automated pallet restacker. More specifically the Q-Tek Bomber is a stationary machine used with any standard, unmodified fork lift to separate and combine layers of product on various pallets. <a href=""http://www.q-tekbomber.com/"">Click here</a> for more information.</p>
	<p align=""justify""><strong>Benefits <br />
	</strong>New Purchase Price = $64,125 <br />
	<strong>  ??? </strong> 5% discount off the retail purchase price </p>
	<p align=""justify"">	  Rent to Own Options <br />
	  <strong>  ??? </strong> 5 year rent-to-own at $1,235 per month <br />
	  <strong>  ??? </strong> 3 year rent-to-own at $1,425 per month <br />
	  <strong>  ??? </strong> Rent-to-own options allow you to purchase the machine at any time during the term for $64,125 less a credit of 50% of all rental payments made </p>	<p align=""justify""><a href=""dl/Qtek_Acquisition%20Options%20-%20Rent-To-Own%20-2-18-08%20DSI_website-1.pdf"">Click here</a> to view the specifics of the above two options and additional charges that apply.</p>
	<p align=""justify""><strong>How to use the program<br />
	</strong>To acquire more information or to purchase the Q-Tek Bomber, contact the President of Accutech Design Limited: </p>
	<p align=""justify"">Paul Redman <br />
      <span class=""style19"">T</span> 519- 453-1880 Ext 235 <span class=""style19"">E</span> <a href=""mailto:sales@Q-TekBomber.com "">sales@Q-TekBomber.com </a></p></td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali Magel, DSI Business Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-5568 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>","",0,1,1
