pID,pTitle,pComments,pBody,isPublic,isDeleted
1,"DSI Home Page","ALL","<p align=""justify"">Distributors Solutions LLC (???DSI???) was formed in June 2007 to act as a purchasing consortium to support the independent distributors of Coors Brewing Company products in North America. We are based in Golden, Colorado. </p>
<p>On July 1, 2008, we expanded our scope to include all MillerCoors distributors per the JV between Coors Brewing Company and SAB Miller. </p>
<p>In 2009, we further expanded to include two additional groups of distributors and contractors. On January 6, 2009 our partnership with Network Services, a group of more than 75 paper and sanitary supply distributors, was launched. On February 23, 2009 we launched our partnership with Johns Manville; bringing the DSI purchasing program to JM's Pinnacle and Summit level contractors. </p>
<p>On March 31, 2010 our portfolio of purchasing programs was extended to all Wine and Spirits Wholesalers of America member distributors, bringing the total number of businesses under the DSI group purchasing umbrella to roughly 1,200.</p>   
<p>Although DSI is an independent company from MillerCoors, Wine and Spirits Wholesalers of America, Network Services, and Johns Manville, we work closely with the management within each entity to add value to distributors and contractors in purchasing services. </p>
<p>Our goals are to reduce costs to the distributors and contractors on the one hand and to provide efficiencies and increased volume opportunities for selected suppliers on the other hand. </p>
</body>
</html>
<!-- Start of StatCounter Code -->
<script type=""text/javascript"">
var sc_project=4424763; 
var sc_invisible=1; 
var sc_partition=55; 
var sc_click_stat=1; 
var sc_security=""382eebab""; 
</script>

<script type=""text/javascript"" src=""http://www.statcounter.com/counter/counter.js""></script><noscript><div class=""statcounter""><a title=""myspace visitor"" href=""http://www.statcounter.com/myspace/"" target=""_blank""><img class=""statcounter"" src=""http://c.statcounter.com/4424763/0/382eebab/1/"" alt=""myspace visitor"" ></a></div></noscript>
<!-- End of StatCounter Code -->",1,0
2,"Leadership Team Main","ALL","<table width=""90%"" border=""0"" cellpadding=""5"" cellspacing=""5"">
 <tr>
  <td width=""35%"" align=""left"" valign=""top"">
  	<table width=""315"" border=""0"" cellpadding=""2"" cellspacing=""2"">
    <tr>
      <td noWrap><a href=""?pageid=3"">Stephen Largan - Chairman ></a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=4"">Salim Haji - Chief Executive Officer > </a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=5"">Ali (Magel) Comeaux - General Manager ></a></td>
     </tr>
     <tr>      
       <td noWrap><a href=""?pageid=29"">Anne Drolet - Director of Business Development > </a></td>
    </tr>
<tr>
      <td noWrap><a href=""?pageid=96"">Jon Wormsley - Director of Business Development > </a></td>
    </tr>
    </table>  </td>
  <td width=""60%"" align=""justify"" valign=""top"">
  	<p align=""justify"">Distributors Solutions LLC is led by a senior  management team with a wealth of experience as procurement specialists, operating executives and management consultants. Our experience across many industries and functional areas enables us to apply strategic and operational knowledge to provide procurement and other innovative solutions to the MillerCoors community we support.</p>
    <p align=""justify"">Please click team member names to review individual biographies. </p>
  </td>
 </tr>
</table>",1,0
3,"Leadership Team (Stephen)","ALL","<table width=""90%"" border=""0"" cellpadding=""5"" cellspacing=""5"">
 <tr>
  <td align=""left"" valign=""top"">
  	<table width=""315"" border=""0"" cellpadding=""2"" cellspacing=""2"">
     <tr>
      <td noWrap><a href=""?pageid=3"">Stephen Largan - Chairman ></a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=4"">Salim Haji - Chief Executive Officer > </a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=5"">Ali (Magel) Comeaux - General Manager ></a></td>
     </tr>
     <tr>      
       <td noWrap><a href=""?pageid=29"">Anne Drolet - Director of Business Development > </a></td>
    </tr>
<tr>
      <td noWrap><a href=""?pageid=96"">Jon Wormsley - Director of Business Development > </a></td>
    </tr>
    </table>
  </td>
  <td align=""justify"" valign=""top"">
  	<font color=""#F20000"">Stephen Largan - Chairman </font>
    <p align=""justify"">Mr. Largan is a Managing Director at a Denver based private equity firm. Prior to working in private equity, Mr. Largan was the President and the senior operating executive of MacDermid Inc. a NYSE listed global specialty chemical company, where he previously held positions as the President of the company's largest division and as the corporation's senior financial officer. </p>
    <p align=""justify"">Prior positions include senior financial roles at the Ford Motor Company's outsourced services division as well as positions in finance, accounting and treasury management at Ford and Northern Foods PLC. </p>
    <p align=""justify"">Mr. Largan is a Chartered Management Accountant and holds an MBA from Manchester Business School, University of Wales. </p>    <p align=""justify"" class=""style16""> </p>
  </td>
 </tr>
</table>",1,0
4,"Leadership Team (Salim)","ALL","<table width=""90%"" border=""0"" cellpadding=""5"" cellspacing=""5"">
 <tr>
  <td align=""left"" valign=""top"">
  	<table width=""315"" border=""0"" cellpadding=""2"" cellspacing=""2"">
    <tr>
      <td noWrap><a href=""?pageid=3"">Stephen Largan - Chairman ></a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=4"">Salim Haji - Chief Executive Officer > </a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=5"">Ali (Magel) Comeaux - General Manager ></a></td>
     </tr>
     <tr>      
       <td noWrap><a href=""?pageid=29"">Anne Drolet - Director of Business Development > </a></td>
    </tr>
<tr>
      <td noWrap><a href=""?pageid=96"">Jon Wormsley - Director of Business Development > </a></td>
    </tr>
    </table>  </td>
  <td align=""justify"" valign=""top"">
	<font color=""#F20000"">Salim Haji - Chief Executive Officer</font>
    <p align=""justify"">Mr. Haji co-founded Distributors Solutions LLC in 2007. Prior to founding DSI, Mr. Haji was an independent management consultant whose client base included Coors, MacDermid and other corporations and non-profit entities. Mr. Haji is also an Adjunct Professor of Management at the Daniels College of Business at Denver University, where he lectures in Corporate Strategy. Mr. Haji's prior positions included Sr. VP of Strategy at MacDermid and Vice President and Partner at Mercer Management Consulting. <br>
    <br>
  	Mr. Haji holds a BA in Economics from Brown University and an MBA from Stanford University.</p>
  </td>
 </tr>
</table>",1,0
5,"Leadership Team (Ali)","ALL","<table width=""90%"" border=""0"" cellpadding=""5"" cellspacing=""5"">
 <tr>
  <td width=""35%"" align=""left"" valign=""top"">
  	<table width=""315"" border=""0"" cellpadding=""2"" cellspacing=""2"">
     <tr>
      <td noWrap><a href=""?pageid=3"">Stephen Largan - Chairman ></a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=4"">Salim Haji - Chief Executive Officer > </a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=5"">Ali (Magel) Comeaux - General Manager ></a></td>
     </tr>
     <tr>
      
       <td noWrap><a href=""?pageid=29"">Anne Drolet - Director of Business Development > </a></td>
    </tr>
<tr>
      <td noWrap><a href=""?pageid=96"">Jon Wormsley - Director of Business Development > </a></td>
    </tr>
    </table>  </td>
  <td width=""61%"" align=""justify"" valign=""top"">
	<font color=""#F20000"">Ali (Magel) Comeaux - General Manager </font>
    <p align=""justify"">Ms. Comeaux joined DSI from Pitney Bowes where she held a position in the operational audit group. Prior positions included business analysis and investment analysis in the private and public sectors. </p>
    <p align=""justify"">Ms. Comeaux holds a BS in Business Administration from the University of South Dakota and an MBA from the University of Denver. </p>      
  </td>
 </tr>
</table>",1,0
6,"LeadershipTeam (Clark)","ALL","<table width=""90%"" border=""0"" cellpadding=""5"" cellspacing=""5"">
 <tr>
  <td width=""39%"" align=""left"" valign=""top"">
  	<table width=""315"" border=""0"" cellpadding=""2"" cellspacing=""2"">
     <tr>
      <td noWrap><a href=""?pageid=3"">Stephen Largan - Chairman ></a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=4"">Salim Haji - Chief Executive Officer > </a></td>
     </tr>
     <tr>
      <td noWrap><a href=""?pageid=5"">Alexees ""Ali"" Magel - Business Manager ></a></td>
     </tr>
     <tr>
       <td noWrap><a href=""?pageid=6"">Clark Morrell - Director of Finance and Purchasing > </a></td>
     </tr>
     <tr>
       <td noWrap><a href=""?pageid=29"">Anne Drolet - Director of Business Development > </a></td>
    </tr>
    </table>  </td>
  <td width=""61%"" align=""justify"" valign=""top"">
	<font color=""#F20000"">Clark Morrell - Director of Finance and Purchasing</font>
    <p>Mr. Morrell joined DSI from MillerCoors where he had more than 20 years of experience in finance, strategy, and mergers and acquisitions, and served as European controller. Prior positions include finance and marketing management roles at Ciba-GEIGY and Clorox. </p>
    <p>Mr. Morrell holds a BS in mathematics from Davidson College and an MBA from Stanford University. </p>
    </td>
 </tr>
</table>",0,1
7,"Contact DSI","ALL","<table>
 <tr>
  <td align=""center"" valign=""top""><img src=""images/logo_swirl.gif""></td>
  <td>
<div align=""left"">
<p align=""left"" class=""style8""><span class=""style10"">Ali (Magel) Comeaux</span><br>
<span class=""style7"">General Manager <br>
<br>
T</span><span class=""style21""> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span></span> <span class=""style9""><a href=""mailto:info@dsi-mail.com"">info@dsi-mail.com</a> </span><span class=""style21""><br>
<br>
Distributors Solutions LLC c/o MillerCoors<br>
Attn: Ali (Magel) Comeaux   <br>
P.O. Box 4030, Mail Number BC500 <br>
<img src=""Images/contactspacer.png"" width=""1"" height=""10""> <img src=""Images/contactspacer.png"" width=""1"" height=""10""> Golden, CO 80401 </span><br>
</p>
<p align=""left"" class=""style5""> </p>
</div>

  </td>
 </tr>
</table>
<!-- Start of StatCounter Code -->
<script type=""text/javascript"">
var sc_project=4424763; 
var sc_invisible=1; 
var sc_partition=55; 
var sc_click_stat=1; 
var sc_security=""382eebab""; 
</script>

<script type=""text/javascript"" src=""http://www.statcounter.com/counter/counter.js""></script><noscript><div class=""statcounter""><a title=""myspace visitor"" href=""http://www.statcounter.com/myspace/"" target=""_blank""><img class=""statcounter"" src=""http://c.statcounter.com/4424763/0/382eebab/1/"" alt=""myspace visitor"" ></a></div></noscript>
<!-- End of StatCounter Code -->",1,0
8,"News","ALL","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN""
""http://www.w3.org/TR/html4/loose.dtd"">
<html>
<head>
<title>Untitled Document</title>
<meta http-equiv=""Content-Type"" content=""text/html; charset=iso-8859-1"">
</head>

<body>
<table cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td> </td>
    <td></td>
  </tr>
  <tr>
    <td> </td>
    <td></td>
  </tr>
<tr align=""left"" valign=""top"">
    <td align=""center""><div align=""center""><img src=""/images/MCConvention2011.png"" width=""196"" height=""147"" align=""top""></div></td>
    <td><p><strong>March 23-25, 2011 </strong></p>
<body>
<strong></strong>Thanks to all of you who visited the Distributors Solutions (""DSI"") booth at the 2011 MillerCoors Distributor Convention in San Antonio, TX! <br>
<br>
This years convention provided us with yet another opportunity to connect with you and hear how DSI continues to benefit your business.  We continue to be encouraged by our progress over the last four years and look forward to discussing all of the programs with you further in the near future. <br>
<br>
As we begin our fifth year, we want to thank MillerCoors for its ongoing partnership and support, as well as our preferred vendors who help reduce distributor costs by offering significant savings, and the more than 500 MillerCoors Distributors purchasing through at least 1 of our 30 programs.  We look forward to continued program growth and the opportunity to further reduce operating costs for the MillerCoors Distributors.
</body>
<br><br><br>
  <tr align=""left"" valign=""top"">
    <td align=""center""><div align=""center""><img src=""/images/tn_WSWAlogo.JPG"" width=""152"" height=""200"" align=""top""></div></td>
    <td><p><strong>March 31, 2010 </strong></p>
      <p>Distributors Solutions (""DSI"") and the Wine and Spirits Wholesalers of America, Inc  (""WSWA"") announce their  partnership.  DSI's negotiated purchasing programs are now available to  all WSWA Wholesalers. </p>
      <p> WSWA is the national trade organization representing the wholesale tier of the wine and spirits industry. It is dedicated to advancing the interests and independence of wholesale distributors and/or brokers of wine and/or spirits. Founded in 1943, WSWA has nearly 330 member companies in 50 states and the District of Columbia. WSWA members  distribute more than 70% of all wines and spirits sold at wholesale in the United States. <br>
        <br>
Headquartered in Washington, D.C., WSWA provides its members with representation before Congress, executive agencies, regulatory bodies, courts, and other alcohol beverage industry organizations. In addition, we offer a wide range of services in the areas of public affairs, education and social responsibility issues.
</p>
      </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td> </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td><p><strong>March 26, 2010</strong></p>
    <p>Coming off the heels of the DSI / MillerCoors three year contract extension, it was especially exciting to attend this year's MillerCoors Convention in Las Vegas, Nevada!</p>
    <p>For those  we met with at    the   DSI booth within the ""Connect as One"" space, it was great seeing you and discussing ways in which you have - or will soon - benefits from DSI's purchasing programs.</p>
    <p>If we didn't have the opportunity to meet face to face, please read about DSI in the MillerCoors Shared Services brochure or continue exploring our website for more program information. </p>
    <p>See you at next year's MillerCoors convention! </p></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td> </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""><p align=""left""> </p>      <br><br></td>
    <td><p align=""left""><strong>March 22, 2010 </strong></p>
      <p align=""left"">Distributors Solutions (???DSI???) announces that it has extended its contract with MillerCoors to serve as the co-op purchasing organization for all MillerCoors distributors to March 2013. </p>
      <p align=""left"">DSI was founded in 2007 to act as a purchasing consortium to support the independent distributors of Coors Brewing Company in the United States. In July 2008, DSI expanded its scope to include all MillerCoors distributors following the joint venture between Molson Coors Brewing Company and SAB Miller. </p>
      <p align=""left"">DSI now has over 25 programs, ranging from simple commodities like office supplies (Office Depot) and tires (Goodyear and Michelin) to more complex categories like fuel hedging and insurance (health and liability) where DSI is partnering with the Coca-Cola Bottlers' Association. Over 500 MillerCoors distributors now purchase from one or more of DSI's programs, and participation continues to grow steadily. </p>
    <p align=""left"">Please <a href=""http://distributorssolutions.com/dl/MC%20Contract%20extension%20announcement_032210.pdf"">click here</a> to view the announcement.</p></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td> </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""><div align=""center""><img src=""/images/tn_NBWA3.jpg"" width=""195"" height=""300""></div></td>
    <td width=""726""><p align=""justify""><strong>September 22 - 24, 2009</strong> </p>
    <p align=""justify"">Thanks to all of you who visited the Distributors Solutions (""DSI"") booth, within the MillerCoors booth, at the 2009 National Beer Wholesalers Association (""NBWA"") Convention in Las Vegas, NV!  <br>
      <br>
For us, the event marked an important milestone in the MillerCoors Distributor Purchasing Program.  Nearly two years after launching the program, the convention provided another opportunity to meet with you and hear first hand how the DSI program is benefiting your business.  As we enter our third year, we thank MillerCoors for its ongoing partnership and support, as well as our preferred vendors who help reduce distributor costs by offering significant savings, and the nearly 500 MillerCoors distributors purchasing through at least 1 of our 25 programs.  We look forward to continued program growth and the opportunity to further reduce operating costs for the MillerCoors Distributors. </p></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td> </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td width=""252"" align=""center""><div align=""center""><img src=""http://distributorssolutions.com/images/jm_logo.png"" width=""192"" height=""158""></div></td>
    <td width=""726""><p><strong>February 23, 2009</strong></p>
      <p align=""justify"">Distributors Solutions (""DSI"") and Johns Manville (""JM"") jointly announce their partnership to bring DSI's negotiated co-op purchasing programs to JM's Pinnacle and Summit level contractors. The official launch of the purchasing programs will take place in the Grand Cayman Islands on February 23, 2009. </p>
      <p align=""justify"">Contractors qualifying for the program include the Pinnacle and Summit levels of the Johns Manville Peak Advantage??? Contractor Program, which creates additional value for its contractor partners. </p>
    <p align=""justify"">Johns Manville, a Berkshire Hathaway company, is a leading manufacturer and marketer of premium-quality building insulation, commercial roofing, roof insulation, and specialty products for commercial, industrial, and residential applications. </p></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td> </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""></td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""></td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""></td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""></td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""><div align=""center""><img src=""/images/tn_Network%20logo.jpg""></div></td>
    <td><p><strong>January 6, 2009 </strong></p>
      <p align=""justify"">Distributors Solutions (""DSI"") and Network Services Company officially announce the launch of their partnership in which DSI will manage and expand the Associate Supplier Programs in place for Network Service's distributors of paper and sanitary supplies. </p>
    <p align=""justify"">Network Services, headquartered outside of Chicago, IL, is a member-owned organization of more than 75 best-in-class distributors with over 400 locations across the United States.</p></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td> </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td colspan=""2"" align=""center""></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td colspan=""2"" align=""center""></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td colspan=""2"" align=""center""></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td><p><strong>April 7-8, 2008 </strong></p>
    <p>Thank you to all of you who visited the Distributors Solutions booth at the 2008 Coors Distributor National Convention. It was a pleasure to meet you all in person and we look forward to working with you in the future. Based on your feedback and interest in many of the programs, we are confident that you will find some significant savings from at least a couple of the programs already in place. </p>    </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""></td>
    <td></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td colspan=""2"" align=""center""> </td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td colspan=""2"" align=""center""></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td colspan=""2"" align=""center""></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td colspan=""2"" align=""center""></td>
  </tr>
  <tr align=""left"" valign=""top"">
    <td align=""center""> </td>
    <td><p><strong>July 12, 2007 </strong></p>
    <p>Coors Chief Revenue Officer/CNBC Co-Chair, Ed McBrien, and Coors National Business Council Co-Chair, Vance Reed, announces that Coors had reached an agreement with Distributors Solutions LLC (""DSI"") to develop a broader purchasing program to include more goods. <a href=""http://www.distributorssolutions.com/dl/Announcement%20letter.pdf""><br>
        <br>
    </a>Please <a href=""http://www.distributorssolutions.com/dl/Announcement%20letter.pdf"">click here </a>to view the memo.</p>
    </td>
  </tr>
  <tr>
    <td></td>
    <td></td>
  </tr>
  <tr>
    <td colspan=""2""><br></td>
  </tr>
</table>
</body>
</html>
",1,0
9,"Fleet - Chrysler","MC","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/tn_Chrysler2.png""> </td>
  <td width=""10""> </td>
  <td align=""justify"">
    <p><span style=""font-weight: bold"">P</span><strong>rogram Details<br />
    </strong>Chrysler Fleet Operations offers MillerCoors Distributors the Volume Incentive Program (""VIP"") for the 2011 model year. </p>
    <p><strong>Benefits <br />
    </strong>The special incentives, ranging upwards to $6,000, will be paid on specific models based on your purchase objectives. </p>
    <p><strong>How to Use the Program<br />
    </strong><a href=""dl/Chrysler 2011 VIP 091410 WEB.pdf"">Click here</a> to view the details of the program. </p>
    <p>*Important Note: The Chrysler Fleet Account Number (FAN) has been changed to <strong>009TP</strong>. </p>
    </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>",0,0
10,"Fleet - Ford","MC","<table width=""90%"" border=""0"" cellpadding=""0"" cellspacing=""0"">
 <tr>
  <td align=""left"" valign=""top""><img src=""images/FordLogo.png"" width=""300"" height=""200"" /> </td>
  <td width=""10""> </td>
  <td align=""justify"" valign=""top"">
	<p align=""justify""><strong>Program Details <br />
  </strong>Ford Motor Company offers MillerCoors Distributors the special Competitive Price Allowance (""CPA"") for 2011 model year vehicles. <strong></strong></p>
        <p align=""justify""><span style=""font-weight: bold"">B</span><strong>enefits <br />
    </strong>The incentives offered range up to $7,000 off the invoice price. </p>
    <p align=""justify""><strong>How to Use the Program<br />
    </strong>
<a href=""http://distributorssolutions.com/dl/2011 Ford CPA Program_Website 121410.pdf"">Click here </a>to view details of the Competitive Price Allowance program for the <strong>2011 model year.</strong> <br>
<ul>
  <li> <strong>If you have 15 or more vehicles,</strong> you must acquire a Ford FIN code for your distributorship by either calling 1-800-34FLEET, pick 1, or by  accessing <a href=""http://www.fleet.ford.com"">www.fleet.ford.com</a>, and hit ???create an account???.  When you have been issued a Ford FIN code, email it to Terry Ryan at <a href=""mailto:tryan3@ford.com "">tryan3@ford.com</a> and note the FIN code for him to list you under the DSI/MillerCoors program and to be eligible to participate under the terms of this CPA program. </li>
  <li><strong>If you have less than 15 vehicles,</strong> please contact Distributors Solutions General Manager to receive your Ford FIN code and the details of the program: 
<br><br>
Ali (Magel) Comeaux <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com </a></p>    </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3"">
  	<div align=""left"">
    	<p>Please contact Ali (Magel) Comeaux, DSI General Manager, if you have any questions. <br>
        <span class=""style19"">T</span> 303-277-3359 <span class=""style19"">F</span> 303-277-2463 <span class=""style19"">E</span> <a href=""mailto:amagel@dsi-mail.com"">amagel@dsi-mail.com</a></p>
    </div>
  </td>
 </tr>
 <tr>
  <td colspan=""3""> </td>
 </tr>
 <tr>
  <td colspan=""3""><div align=""left""><strong>CONFIDENTIAL INFORMATION</strong> </div></td>
 </tr>
</table>
</center>",0,0
