sID,uID,oID,sType,sTXT,sNum,sDMY,dtHealth,dtAuto,dtGeneral,dtProperty,dtUmbrella,isDeleted
1,2,1,"ynm","yes",,"","","","","","",0
2,2,2,"ynm","yes",,"","","","","","",0
3,2,3,"ynm","yes",,"","","","","","",0
4,2,4,"ynm","yes",,"","","","","","",0
5,2,5,"ynm","yes",,"","","","","","",0
6,2,6,"ynm","yes",,"","","","","","",0
7,2,7,"ynm","yes",,"","","","","","",0
8,2,8,"ynm","yes",,"","","","","","",0
9,2,9,"ynm","yes",,"","","","","","",0
10,2,10,"ynm","yes",,"","","","","","",0
11,2,11,"ynm","yes",,"","","","","","",0
12,2,12,"ynm","yes",,"","","","","","",0
13,2,13,"ynm","yes",,"","","","","","",0
14,2,14,"ynm","yes",,"","","","","","",0
15,2,15,"ynm","yes",,"","","","","","",0
16,2,16,"ynm","yes",,"","","","","","",0
17,2,17,"ynm","yes",,"","","","","","",0
18,2,18,"ynm","yes",,"","","","","","",0
19,2,19,"ynm","yes",,"","01/01/11 00:00:00","01/01/11 00:00:00","01/01/11 00:00:00","01/01/11 00:00:00","01/01/11 00:00:00",0
20,2,20,"ynm","yes",,"","","","","","",0
21,3,1,"ynm","yes",,"","","","","","",0
22,3,2,"ynm","yes",,"","","","","","",0
23,3,3,"ynm","no",,"","","","","","",0
24,3,4,"ynm","maybe",,"","","","","","",0
25,3,5,"ynm","yes",,"","","","","","",0
26,3,6,"ynm","yes",,"","","","","","",0
27,3,7,"ynm","yes",,"","","","","","",0
28,3,8,"ynm","no",,"","","","","","",0
29,3,9,"ynm","maybe",,"","","","","","",0
30,3,10,"ynm","yes",,"","","","","","",0
31,3,11,"ynm","yes",,"","","","","","",0
32,3,12,"ynm","no",,"","","","","","",0
33,3,13,"ynm","yes",,"","","","","","",0
34,3,14,"ynm","yes",,"","","","","","",0
35,3,15,"ynm","yes",,"","","","","","",0
36,3,16,"ynm","yes",,"","","","","","",0
37,3,17,"ynm","yes",,"","","","","","",0
38,3,18,"ynm","maybe",,"","","","","","",0
39,3,19,"ynm","yes",,"","","","","","",0
40,3,20,"ynm","no",,"","","","","","",0
41,4,1,"ynm","yes",,"","","","","","",0
42,4,2,"ynm","yes",,"","","","","","",0
43,4,3,"ynm","yes",,"","","","","","",0
44,4,4,"ynm","yes",,"","","","","","",0
45,4,5,"ynm","yes",,"","","","","","",0
46,4,6,"ynm","yes",,"","","","","","",0
47,4,7,"ynm","yes",,"","","","","","",0
48,4,8,"ynm","yes",,"","","","","","",0
49,4,9,"ynm","yes",,"","","","","","",0
50,4,10,"ynm","yes",,"","","","","","",0
51,4,11,"ynm","yes",,"","","","","","",0
52,4,12,"ynm","yes",,"","","","","","",0
53,4,13,"ynm","yes",,"","","","","","",0
54,4,14,"ynm","yes",,"","","","","","",0
55,4,15,"ynm","yes",,"","","","","","",0
56,4,16,"ynm","yes",,"","","","","","",0
57,4,17,"ynm","yes",,"","","","","","",0
58,4,18,"ynm","no",,"","","","","","",0
59,4,19,"ynm","yes",,"","09/01/10 00:00:00","05/01/10 00:00:00","05/01/10 00:00:00","05/01/10 00:00:00","05/01/10 00:00:00",0
60,4,20,"ynm","yes",,"","","","","","",0
61,5,1,"ynm","no",,"","","","","","",0
62,5,2,"ynm","yes",,"","","","","","",0
63,5,3,"ynm","no",,"","","","","","",0
64,5,4,"ynm","no",,"","","","","","",0
65,5,5,"ynm","no",,"","","","","","",0
66,5,6,"ynm","no",,"","","","","","",0
67,5,7,"ynm","no",,"","","","","","",0
68,5,8,"ynm","no",,"","","","","","",0
69,5,9,"ynm","no",,"","","","","","",0
70,5,10,"ynm","yes",,"","","","","","",0
71,5,11,"ynm","no",,"","","","","","",0
72,5,12,"ynm","no",,"","","","","","",0
73,5,13,"ynm","maybe",,"","","","","","",0
74,5,14,"ynm","no",,"","","","","","",0
75,5,15,"ynm","no",,"","","","","","",0
76,5,16,"ynm","no",,"","","","","","",0
77,5,17,"ynm","no",,"","","","","","",0
78,5,18,"ynm","no",,"","","","","","",0
79,5,19,"ynm","no",,"","","","","","",0
80,5,20,"ynm","no",,"","","","","","",0
81,6,1,"ynm","yes",,"","","","","","",0
82,6,2,"ynm","yes",,"","","","","","",0
83,6,3,"ynm","yes",,"","","","","","",0
84,6,4,"ynm","yes",,"","","","","","",0
85,6,5,"ynm","yes",,"","","","","","",0
86,6,6,"ynm","yes",,"","","","","","",0
87,6,7,"ynm","yes",,"","","","","","",0
88,6,8,"ynm","yes",,"","","","","","",0
89,6,9,"ynm","yes",,"","","","","","",0
90,6,10,"ynm","no",,"","","","","","",0
91,6,11,"ynm","maybe",,"","","","","","",0
92,6,12,"ynm","no",,"","","","","","",0
93,6,13,"ynm","no",,"","","","","","",0
94,6,14,"ynm","no",,"","","","","","",0
95,6,15,"ynm","yes",,"","","","","","",0
